Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	row_id	Project.Request	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
CORALLINA	R11031;R11129	144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:493999	Corallina	Corallina	Corallineae	Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> 	1758	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina	NA	NA	NA	Genus	Linnaeus, 1758	accepted	2024-02-06	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Corallina Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144007	NA	NA	NA	144007	493999	NA	NA	NA	R11031	LiMPETS – Long-term Monitoring Program and Experiential Training for Students.	Claire Fackler	claire.fackler@noaa.gov	Coralline Algae	Monitored
CORALLINA	R11031;R11129	144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:144007	urn:lsid:marinespecies.org:taxname:493999	Corallina	Corallina	Corallineae	Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> 	1758	Plantae	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina	NA	NA	NA	Genus	Linnaeus, 1758	accepted	2024-02-06	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Corallina Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144007	NA	NA	NA	144007	493999	NA	NA	NA	R11129	MARINe	Peter Raimondi	raimondi@ucsc.edu	NA	Encountered
CORBICULA	R04182	238371	urn:lsid:marinespecies.org:taxname:238371	urn:lsid:marinespecies.org:taxname:238371	urn:lsid:marinespecies.org:taxname:238371	urn:lsid:marinespecies.org:taxname:238370	Corbicula	Corbicula	Cyrenidae	Megerle von Mühlfeld, J. C. (1811). Entwurf eines neuen Systems der Schaltiergehäuse. <em>Magazin für die neuesten Entdecklungen in der gesammten Naturkunde von der Gesellschaft Naturforschaft Freunde zu Berlin.</em> 5(1): 38-72, pl. 3.	1811	Animalia	Mollusca	Bivalvia	Venerida	Cyrenidae	Corbicula	NA	NA	NA	Genus	Megerle von Mühlfeld, 1811	accepted	2023-03-17	MolluscaBase eds. (2024). MolluscaBase. Corbicula Megerle von Mühlfeld, 1811. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=238371	https://www.marinespecies.org/aphia.php?p=taxdetails&id=238371	NA	NA	NA	238371	238370	NA	NCBI:txid1176409	NA	R04182	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CORBULA	R03042	137841	urn:lsid:marinespecies.org:taxname:137841	urn:lsid:marinespecies.org:taxname:137841	urn:lsid:marinespecies.org:taxname:137841	urn:lsid:marinespecies.org:taxname:510704	Corbula	Corbula	Corbulinae	Bruguière J.G. (1791-1797). <i>Tableau encyclopédique et méthodique des trois règnes de la nature. Vers, coquilles, mollusques et polypiers</i>. Part 7 [Livraison 46, 30 July 1791]: Tome 1, pp. [i]-viii, 1-83, pl. 1-95, Paris: Panckoucke. Part 10 [Livraison 49, May 1792]: Tome 1, pp. 85-132; Tome 2, pl. 96-189, Paris: Panckoucke. Part 19 [Livraison 62, 8 July 1797], pl. 190-286, Paris: H. Agasse. [dates and publishers after Evenhuis & Petit 2003]. 	1791-1797	Animalia	Mollusca	Bivalvia	Myida	Corbulidae	Corbula	NA	NA	NA	Genus	Bruguière, 1797	accepted	2021-06-05	MolluscaBase eds. (2024). MolluscaBase. Corbula Bruguière, 1797. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137841	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137841	NA	NA	NA	137841	510704	NA	NA	NA	R03042	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R00321	ACCESS Zooplankton	Meredith Elliott	melliott@pointblue.org	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R01200	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R08986	EcoFOCI Zooplankton	David Kimmel	david.kimmel@noaa.gov	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R09699	RREAS, Coastal Pelagic Survey, Sakuma et al. 2077	Keith Sakuma	keith.sakuma@noaa.gov	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R09847	RREAS, Coastal Pelagic Survey, Santora et al. 2100	Jarrod Santora	jarrod.santora@noaa.gov	NA	Encountered
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413	107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:107007	urn:lsid:marinespecies.org:taxname:106782	Crangon	Crangon	Crangonidae	Fabricius, J.C. (1798). Supplementum Entomologiae Systematicae. Hafniae: Proft et Storck: 1-572.	1798	Animalia	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA	NA	NA	Genus	Fabricius, 1798	accepted	2022-09-07	DecaNet eds. (2024). DecaNet. Crangon Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=107007	NA	NA	NA	107007	106782	NA	NCBI:txid98081	NA	R11413	MARINe	Peter Raimondi	raimondi@ucsc.edu	NA	Encountered
CROCKERELLA	R01214	432439	urn:lsid:marinespecies.org:taxname:432439	urn:lsid:marinespecies.org:taxname:432439	urn:lsid:marinespecies.org:taxname:432439	urn:lsid:marinespecies.org:taxname:153873	Crockerella	Crockerella	Clathurellidae	Hertlein L.G. & Strong A.M. (1951). Eastern Pacific expeditions of the New York Zoological Society. XLIII. Mollusks from the west coast of Mexico and Central America. Part X. <em>Zoologica.</em> 36(2): 67-120, 11 pls.	1951	Animalia	Mollusca	Gastropoda	Neogastropoda	Clathurellidae	Crockerella	NA	NA	NA	Genus	Hertlein & A. M. Strong, 1951	accepted	2020-01-06	MolluscaBase eds. (2024). MolluscaBase. Crockerella Hertlein & A. M. Strong, 1951. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=432439	https://www.marinespecies.org/aphia.php?p=taxdetails&id=432439	NA	NA	NA	432439	153873	NA	NCBI:txid1077931	NA	R01214	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CRYPTOPLEURA	R11201	143882	urn:lsid:marinespecies.org:taxname:143882	urn:lsid:marinespecies.org:taxname:143882	urn:lsid:marinespecies.org:taxname:143882	urn:lsid:marinespecies.org:taxname:172544	Cryptopleura	Cryptopleura	Cryptopleureae	NA	NA	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Cryptopleura	NA	NA	NA	Genus	Kützing, 1843	accepted	2008-10-30	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptopleura Kützing, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=143882	https://www.marinespecies.org/aphia.php?p=taxdetails&id=143882	NA	NA	NA	143882	172544	NA	NA	NA	R11201	MARINe	Peter Raimondi	raimondi@ucsc.edu	NA	Encountered
CUCUMARIA	R01227;R11155;R18363	123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123187	Cucumaria	Cucumaria	Cucumariidae	de Blainville, H. M. (1830). Zoophytes. In: Dictionnaire des sciences naturelles, dans lequel on traitre méthodiquement des differéns êtres de la nature, considérés soit en eux-mêmes, d'après l'état actuel de nos connoissances, soit relativement à l'utlité qu'en peuvent retirer la  médicine, l'agriculture, le commerce et les arts. Edited by F. G. Levrault. Tome 60. Paris, Le Normat. Pp. 548, pls. 68. <em>Paris, 1830.</em> 60 : 1-546.	1830	Animalia	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	NA	NA	NA	Genus	de Blainville, 1830	accepted	2013-08-15	WoRMS (2024). Cucumaria de Blainville, 1830. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	NA	NA	NA	123479	123187	NA	NCBI:txid36325	NA	R01227	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CUCUMARIA	R01227;R11155;R18363	123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123187	Cucumaria	Cucumaria	Cucumariidae	de Blainville, H. M. (1830). Zoophytes. In: Dictionnaire des sciences naturelles, dans lequel on traitre méthodiquement des differéns êtres de la nature, considérés soit en eux-mêmes, d'après l'état actuel de nos connoissances, soit relativement à l'utlité qu'en peuvent retirer la  médicine, l'agriculture, le commerce et les arts. Edited by F. G. Levrault. Tome 60. Paris, Le Normat. Pp. 548, pls. 68. <em>Paris, 1830.</em> 60 : 1-546.	1830	Animalia	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	NA	NA	NA	Genus	de Blainville, 1830	accepted	2013-08-15	WoRMS (2024). Cucumaria de Blainville, 1830. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	NA	NA	NA	123479	123187	NA	NCBI:txid36325	NA	R11155	MARINe	Peter Raimondi	raimondi@ucsc.edu	NA	Encountered
CUCUMARIA	R01227;R11155;R18363	123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123479	urn:lsid:marinespecies.org:taxname:123187	Cucumaria	Cucumaria	Cucumariidae	de Blainville, H. M. (1830). Zoophytes. In: Dictionnaire des sciences naturelles, dans lequel on traitre méthodiquement des differéns êtres de la nature, considérés soit en eux-mêmes, d'après l'état actuel de nos connoissances, soit relativement à l'utlité qu'en peuvent retirer la  médicine, l'agriculture, le commerce et les arts. Edited by F. G. Levrault. Tome 60. Paris, Le Normat. Pp. 548, pls. 68. <em>Paris, 1830.</em> 60 : 1-546.	1830	Animalia	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	NA	NA	NA	Genus	de Blainville, 1830	accepted	2013-08-15	WoRMS (2024). Cucumaria de Blainville, 1830. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	https://www.marinespecies.org/aphia.php?p=taxdetails&id=123479	NA	NA	NA	123479	123187	NA	NCBI:txid36325	NA	R18363	PISCO	Jenn Caselle	caselle@ucsb.edu	Sea Cucumber (embedded, non-mobile)	Encountered
CULTELLUS	R04253	146863	urn:lsid:marinespecies.org:taxname:146863	urn:lsid:marinespecies.org:taxname:146863	urn:lsid:marinespecies.org:taxname:146863	urn:lsid:marinespecies.org:taxname:510740	Cultellus	Cultellus	Cultellinae	Schumacher, C. F. (1817). Essai d'un nouveau système des habitations des vers testacés. <em>Schultz, Copenghagen.</em> iv + 288 pp., 22 pls.	1817	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	Cultellus	NA	NA	NA	Genus	Schumacher, 1817	accepted	2023-04-22	MolluscaBase eds. (2024). MolluscaBase. Cultellus Schumacher, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=146863	https://www.marinespecies.org/aphia.php?p=taxdetails&id=146863	NA	NA	NA	146863	510740	NA	NA	NA	R04253	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CUMELLA	R01232;R08992	110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110383	Cumella	Cumella	Nannastacidae	NA	NA	Animalia	Arthropoda	Malacostraca	Cumacea	Nannastacidae	Cumella	NA	NA	NA	Genus	G.O. Sars, 1865	accepted	2017-09-06	Watling, L.; Gerken, S. (2024). World Cumacea Database. Cumella G.O. Sars, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110416	https://www.marinespecies.org/aphia.php?p=taxdetails&id=110416	NA	NA	NA	110416	110383	NA	NCBI:txid94566	NA	R01232	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CUMELLA	R01232;R08992	110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110416	urn:lsid:marinespecies.org:taxname:110383	Cumella	Cumella	Nannastacidae	NA	NA	Animalia	Arthropoda	Malacostraca	Cumacea	Nannastacidae	Cumella	NA	NA	NA	Genus	G.O. Sars, 1865	accepted	2017-09-06	Watling, L.; Gerken, S. (2024). World Cumacea Database. Cumella G.O. Sars, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110416	https://www.marinespecies.org/aphia.php?p=taxdetails&id=110416	NA	NA	NA	110416	110383	NA	NCBI:txid94566	NA	R08992	EcoFOCI Zooplankton	David Kimmel	david.kimmel@noaa.gov	NA	Encountered
CUMOPSIS	R04260	110393	urn:lsid:marinespecies.org:taxname:110393	urn:lsid:marinespecies.org:taxname:110393	urn:lsid:marinespecies.org:taxname:110393	urn:lsid:marinespecies.org:taxname:110386	Cumopsis	Cumopsis	Vaunthompsoniinae	Sars, G. O. (1887). Nye bidrag til kundskaben om Middelhavets invertebratfauna. II. Middelhavets Cumaceer. <em>Archiv for Mathematik og Naturvidenskab.</em> 3: 465.	1887	Animalia	Arthropoda	Malacostraca	Cumacea	Bodotriidae	Cumopsis	NA	NA	NA	Genus	G.O. Sars, 1878	accepted	2023-07-19	Watling, L.; Gerken, S. (2024). World Cumacea Database. Cumopsis G.O. Sars, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110393	https://www.marinespecies.org/aphia.php?p=taxdetails&id=110393	NA	NA	NA	110393	110386	NA	NCBI:txid94545	NA	R04260	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
CYTHARA	R04310	225372	urn:lsid:marinespecies.org:taxname:225372	urn:lsid:marinespecies.org:taxname:225372	urn:lsid:marinespecies.org:taxname:225372	urn:lsid:marinespecies.org:taxname:153853	Cythara	Cythara	Mangeliidae	Schumacher, C. F. (1817). Essai d'un nouveau système des habitations des vers testacés. <em>Schultz, Copenghagen.</em> iv + 288 pp., 22 pls.	1817	Animalia	Mollusca	Gastropoda	Neogastropoda	Mangeliidae	Cythara	NA	NA	NA	Genus	Schumacher, 1817	nomen dubium	2022-03-13	MolluscaBase eds. (2024). MolluscaBase. Cythara Schumacher, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=225372	https://www.marinespecies.org/aphia.php?p=taxdetails&id=225372	NA	NA	NA	225372	153853	NA	NCBI:txid1340153	NA	R04310	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DACRYDIUM	R01257	138217	urn:lsid:marinespecies.org:taxname:138217	urn:lsid:marinespecies.org:taxname:138217	urn:lsid:marinespecies.org:taxname:138217	urn:lsid:marinespecies.org:taxname:510722	Dacrydium	Dacrydium	Dacrydiinae	Torell, O. (1859). Bidrag till Spitsbergen Molluskfauna. Jemte en allman öfversigt af Arktiska regionens naturforåhallanden och forntida utbredning. Föreningens Boktryckeri, Stocholm, pp.  1-154, pl. 1-2. 118.	1859	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Dacrydium	NA	NA	NA	Genus	Torell, 1859	accepted	2020-04-25	MolluscaBase eds. (2024). MolluscaBase. Dacrydium Torell, 1859. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138217	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138217	NA	NA	NA	138217	510722	NA	NCBI:txid1934915	NA	R01257	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DACTYLOPLEUSTES	R01259	549310	urn:lsid:marinespecies.org:taxname:549310	urn:lsid:marinespecies.org:taxname:549310	urn:lsid:marinespecies.org:taxname:549310	urn:lsid:marinespecies.org:taxname:549293	Dactylopleustes	Dactylopleustes	Dactylopleustinae	Karaman G.S. & Barnard J.L. (1979). Classificatory revisions in Gammaridean Amphipoda (Crustacea), Part I. Proceedings of the Biological Society of Washington., 92, 1, 106-165.	1979	Animalia	Arthropoda	Malacostraca	Amphipoda	Pleustidae	Dactylopleustes	NA	NA	NA	Genus	Karaman & Barnard, 1979	accepted	2024-05-17	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Dactylopleustes Karaman & Barnard, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=549310	https://www.marinespecies.org/aphia.php?p=taxdetails&id=549310	NA	NA	NA	549310	549293	NA	NA	NA	R01259	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DARWINIA	R04793	380109	urn:lsid:marinespecies.org:taxname:380109	NA	NA	NA	Darwinia	Darwinia	Platyhelminthes incertae sedis	NA	NA	Animalia	Platyhelminthes	NA	NA	NA	Darwinia	NA	NA	NA	Genus	Pereyaslawzewa, 1892	accepted	2010-06-17T13:06:02.197Z	Tyler, S., Artois, T.; Schilling, S.; Hooge, M.; Bush, L.F. (eds) (2006-2024). World List of turbellarian worms: Acoelomorpha, Catenulida, Rhabditophora. Darwinia Pereyaslawzewa, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=380109 on 2024-11-08	https://www.marinespecies.org/aphia.php?p=taxdetails&id=380109	NA	NA	NA	380109	391926	NA	NA	NA	R04793	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DEILOCERUS	R01267	345808	urn:lsid:marinespecies.org:taxname:345808	urn:lsid:marinespecies.org:taxname:345808	urn:lsid:marinespecies.org:taxname:345808	urn:lsid:marinespecies.org:taxname:345798	Deilocerus	Deilocerus	Cyclodorippinae	Tavares, M. (1993). Description préliminaire de quatre nouveaux genres et trois nouvelles espèces de Cyclodorippoidea américains (Crustacea, Decapoda, Brachyura). <em>Vie et Milieu.</em> 43(2–3): 137-143.	1993	Animalia	Arthropoda	Malacostraca	Decapoda	Cyclodorippidae	Deilocerus	NA	NA	NA	Genus	Tavares, 1993	accepted	2024-07-23	DecaNet eds. (2024). DecaNet. Deilocerus Tavares, 1993. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=345808	https://www.marinespecies.org/aphia.php?p=taxdetails&id=345808	NA	NA	NA	345808	345798	NA	NA	NA	R01267	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DELTAMYSIS	R01271	226082	urn:lsid:marinespecies.org:taxname:226082	urn:lsid:marinespecies.org:taxname:226082	urn:lsid:marinespecies.org:taxname:226082	urn:lsid:marinespecies.org:taxname:931989	Deltamysis	Deltamysis	Mysidetini	Bowman, T.E., & J.J. Orsi. 1992. Deltamysis holmquistae, a new genus and species of Mysidacea from the Sacramento- San Joaquin estuary of California (Mysidae: Mysinae: Heteromysini).-- Proceedings of the Biological Society of  Washington 105 (4): 733-742.	1992	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Deltamysis	NA	NA	NA	Genus	Bowman & Orsi, 1992	accepted	2016-12-23	Mees, J.; Meland, K. (Eds) (2012 onwards). World List of Lophogastrida, Stygiomysida and Mysida. Deltamysis Bowman & Orsi, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=226082	https://www.marinespecies.org/aphia.php?p=taxdetails&id=226082	NA	NA	NA	226082	931989	NA	NA	NA	R01271	Bight Benthic Macroinvertebrate List	Martha Sutula	marthas@sccwrp.org	NA	Encountered
DESMARESTIA	R18371	144061	urn:lsid:marinespecies.org:taxname:144061	urn:lsid:marinespecies.org:taxname:144061	urn:lsid:marinespecies.org:taxname:144061	urn:lsid:marinespecies.org:taxname:143705	Desmarestia	Desmarestia	Desmarestiaceae	NA	NA	Chromista	Ochrophyta	Phaeophyceae	Desmarestiales	Desmarestiaceae	Desmarestia	NA	NA	NA	Genus	J.V.Lamouroux, 1813	accepted	2012-07-04	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Desmarestia J.V.Lamouroux, 1813. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144061	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144061	NA	NA	NA	144061	143705	NA	NCBI:txid31338	NA	R18371	PISCO	Jenn Caselle	caselle@ucsb.edu	Acidic Seaweed	Encountered
